customer_text,historical_reply,intent,expected_action,escalation_reason
"@SpotifyCares It's not reasonable, though. None of your competitors have a limit, and the users who don't reach it would never notice if it was increased",@128524 2: constantly monitoring all feedback posted in our Community. Hopefully this is something we'll be able to implement in the future /NS,Feature Request,Auto-handle,
@SpotifyCares Thanks but the UK is not listed in the country list.,"@128529 2. be added in the future at https://t.co/2l94QYiAaU. For anything else, let us know /GU",Content Availability,Auto-handle,
@SpotifyCares How can i see this while on desktop mode?,@128531 Hey Jack! Following an artist means you'll be notified whenever they release new content. Stay awesome 🙂 /ND,Feature Request,Auto-handle,
"@SpotifyCares Ok, thank you :)",@128532 Hey! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP 🙂 /KL,Content Availability,Auto-handle,
@SpotifyCares I doubt it :/ but thank you for replying!,@116384 Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MT,Content Availability,Auto-handle,
@SpotifyCares Will do,@130006 Gotcha. Try giving it another go using an incognito window of your browser to avoid any cache-related issues. Let us know how it goes /SY,Subscription/Payment,Auto-handle,
"@SpotifyCares Adamlar çalışıyor abi, direkt çözdüler sorunumu.

Thank you for all your help.","@133325 Hey, we're here to help! Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt",Subscription/Payment,Auto-handle,
"@SpotifyCares It doesn't appear to make a difference on wi-fi or data. I don't use it on another device so no idea, sorry","@131856 Thanks for letting us know. Does this happen on WiFi, 3/4G, or both? Also, are you experiencing the same when using another device? /KM",Subscription/Payment,Auto-handle,
@SpotifyCares De/install fixed it,"@134380 Hey, thanks for the report. We had a little hiccup earlier but everything should be running just fine now. Let us know if you have any other questions /BD",Subscription/Payment,Auto-handle,
@SpotifyCares My $10,@138947 We've just sent a DM your way. Let's carry on chatting there /CG,Subscription/Payment,Auto-handle,
"@SpotifyCares When we make material changes to the Agreements, we’ll provide you with prominent notice as...","@139557 Hey Matthew! You can find more info on that here: https://t.co/crC4eQYWBB. We appreciate the feedback., and we'll make sure it gets passed on to the right team. If you ever need anything else, just shout and we'll come running 🏃 /AQ",Subscription/Payment,Auto-handle,
@SpotifyCares Sweet! Thanks for the info!! :),"@139986 Hey there! All Other Sources includes streams from devices the listener connected to through Spotify Connect, and from non-app widgets such as the Spotify Play Button, which artists and fans can embed in their websites /P",Subscription/Payment,Auto-handle,
"@SpotifyCares Thank you, But I listened to every song of Taylor Swifts waiting for the album and now I know the lyrics to every song on every album. Anyway.....so basically I just have to keep checking the new releases every friday","@140870 Hey Alex! We hear you loud and clear. We’ll have it available to you as soon as it’s available to us. For now, check out the singles: https://t.co/3h0TnPWP0c 🙂 /JI",Subscription/Payment,Auto-handle,
@SpotifyCares I mean so places of the songs changes. Do you understand?,"@141280 Got it! If you're on Premium, you can play your awesome tunes randomly by turning on the shuffle button. Check out this link on how to find it, and more ways to play your awesome tunes: https://t.co/Um7DQ7RV6o. Hope this helps /LS",Subscription/Payment,Auto-handle,
@SpotifyCares I want A Button you press and then all the songs on your playlist change places randomly.,"@141280 Hmm. To make sure we're on the same page, do you want to sort your songs in a specific order? /LS",Subscription/Payment,Auto-handle,
@SpotifyCares Yes,"@141618 Got it. Just to confirm, are you attempting to redeem this promotion on an existing Spotify account? Keep us posted /JI",Subscription/Payment,Auto-handle,
"@SpotifyCares Inspector Clouseau, at your service! 💎","@141978 Got it, thanks for pointing that out for us! We'll let the right team know this something they should look into. Great detective work: https://t.co/FnFycxFkXV 🔍 /TB",Subscription/Payment,Auto-handle,
@SpotifyCares Well played @SpotifyCares ... Well played.,@119789 Whew! Guess that means we're meant to be... https://t.co/F7KvE0pw2o 😉 /NH,Ads/Promotions,Auto-handle,
@SpotifyCares Just did !,"@130766 Hey, we're here to help! Can you DM us your account's email address? We'll take a look backstage /KM https://t.co/ldFdZRiNAt",Ads/Promotions,Auto-handle,
@SpotifyCares Oh I know how to fix it - I just keep forgetting to switch the bloody device,"@133055 Hey Michele, help's here! Could you DM us your account's username or email address? We'll see what we can suggest /RE https://t.co/ldFdZRiNAt",Ads/Promotions,Auto-handle,
@SpotifyCares some songs in the playlists become unsaved,"@134860 Got it. Just to check, does the issue only happen to your downloaded albums? If you have downloaded playlists, do they become unsynced too? /AG",Ads/Promotions,Auto-handle,
@SpotifyCares Aight guys appreciate it,"@136858 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/6Y2qyWFrKN",Ads/Promotions,Auto-handle,
@SpotifyCares Not on my desktop right now. But it's Windows 10. And app tries to start and then shuts down after seconds.,"@139560 Hey, that's not cool!Can you let us know the device, operating system, and Spotify app version you’re using? We'll see what we can suggest /JY",Ads/Promotions,Auto-handle,
"@SpotifyCares Yeah. I've already replied to that thread, months ago - and the thread was started in 2014. So it's nice that Spotify 'hears us', but… it doesn't feel like you're doing anything about it. Rather frustrating.","@141278 Hey there, we hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 /TB",Ads/Promotions,Auto-handle,
"@SpotifyCares Not me, but my bestie. She's trying to make acc on spotify because they said that something went wrong",@133625 Hey there! Spotify is already available in New Zealand. Are you unable to create an account with us? /MA,Ads/Promotions,Auto-handle,
"@SpotifyCares Literally you overslept, the world is your playground. Spotlight on your music. I cant find the most music on Spotify. It Only got mainstream music Which i hate, because they are money hungry untalanted people. You are the most powerful app yet you don’t have much music.",@132184 No worries. You could still enjoy Spotify while on our Free service. More info here: https://t.co/DDxx570cXi. Hope this helps /MU,Ads/Promotions,Auto-handle,
@SpotifyCares Ok! Thanks. I will let you know if it happens again. Thanks for every thing! https://t.co/WWH8AKTJUk,"@117167 Hmm, that's odd. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /RA",Playback,Auto-handle,
@SpotifyCares replied! :),@124189 Thanks! We've just sent a DM back your way. Let's carry on chatting there /TR,Playback,Auto-handle,
@SpotifyCares Tried that but none of it works. Album is Modal Soul by Nujabes in mp3 format. I can see the files in spotify but they just wont play.,@128930 Thanks. We'd suggest checking our support page at https://t.co/Qv6svydfvz for more info. Hope that helps /JE,Playback,Auto-handle,
@SpotifyCares Doesn't really speak to my question. I asked why it is like that. It doesn't make sense to have a cap on a music library. #disappointed,"@129237 Hey Matt, sorry to hear you feel that way. We have more info about this here: https://t.co/59ABtm5Ftl /JP",Playback,Auto-handle,
@SpotifyCares That makes ZERO sense. What does me having more songs in my library have to do with other people having less songs? Still no answer to why?,"@129237 We're sorry to hear you feel that way. This ensures a great experience for most users instead of an ""OK"" experience for 100% /JP",Playback,Auto-handle,
"@SpotifyCares Everything is up to date. Clearing the cache  reduced the length of the freezes, but they still happen. Getting about 60-100 logged errors per freeze. 
Thanks!","@129423 Thanks! Just to check, have you tried clearing your browsers' cache and cookies? Are there any updates on your browsers' version? /JE",Playback,Auto-handle,
@SpotifyCares In the middle of down with the sickness.,@130006 Hey John! Do ads play while you're streaming on the web player? Let us know - we'll look into this /SY,Playback,Auto-handle,
@SpotifyCares Will do!,@124710 Got it. Could you try using an incognito window or a different browser to see if it helps? Let us know how it goes /NS,Subscription/Payment,Escalate,Unclear customer request
@SpotifyCares Thank you for the support thoe,@129062 Hmm. Can you let us know the country you're currently in? We'll see what we can suggest /PB,Subscription/Payment,Escalate,Unclear customer request
"@SpotifyCares Thanks, I didn't know this was a thing!","@131449 Hey David, thanks for reaching out! We don't have any info to share right now. You can still check up on your listening habits here: https://t.co/LjdRPrBEmF 🙂 /JN",Subscription/Payment,Escalate,Unclear customer request
@SpotifyCares Thanks! Also adding some kind of store for merch so y'all can make a cut? Idk,"@131857 Hi there! Thanks for the feedback. We'll make sure it's passed on to the right folks. In the meantime, let us know if we can help with anything else /MU",Subscription/Payment,Escalate,Feature request requiring human review
@SpotifyCares I use Firefox Quantum on Mac OS Sierra version 10.12.6 on a late 2009 iMac desktop. Fairly often Spotify just won't let me play any music. I have to totally close Spotify and re-login for it to work again. Sometimes a browser reset is also necessary. Thanks for looking into this.,"@136357 Hey Kevin, we’re sorry to hear that! What’s happening exactly? Can you let us know the device/OS you’re using? We'll see what we can suggest /CO",Subscription/Payment,Escalate,Requires human troubleshooting
"@SpotifyCares @139555 For me, as soon as I logged in it would log me out (in Chrome). I switched to Firefox and was able to log in. Makes me think something is cached weird.",@139555 Thanks for letting us know. Are you getting any specific error messages while using the web player? A screenshot of what you're seeing would be helpful /CE,Subscription/Payment,Escalate,Account/login issue requiring human troubleshooting
@SpotifyCares Open Spotify then toggle to another app (using the 3D panel switch button thing - don't know what it's called). Also happens during notifications,@139569 Hey Adam! Can you let us know exactly what's happening? We'll see what we can suggest /QI,Subscription/Payment,Escalate,Requires human troubleshooting
@SpotifyCares @142351 What about changing our usernames? Which team is working on that?,"@142351 Hi there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /AU",Subscription/Payment,Escalate,Feature request requiring human review
"@134385 Sorry for the confusion. Don't worry, we'll let our devs know this is something you'd like to see. You can also show your support for the same idea in our Community: https://t.co/TB983FVjWU /JP",@134385 Sorry for the confusion. Have you tried following the steps here: https://t.co/fsYUfD7IIb? Keep us posted /MT,Content Availability,Auto-handle,
@SpotifyCares Thank you. Will keep an eye on that.,"@119558 Hey! We don't have any info about this right now, but we'll be sure to pass on your feedback to the right folks /NQ",Other/General,Auto-handle,
"@SpotifyCares Sometimes the web player changes ads, and the one it goes to has volume that interrupts the song being played.",@130006 Hey John! Do ads play while you're streaming on the web player? Let us know - we'll look into this /SY,Ads/Promotions,Auto-handle,
"@SpotifyCares Hey DF, Chrome V62 on a Mac. I didn't write down the ads, but three consecutive ads disabled the volume (stays grey on hover), and when music resumed playing the volume became active again (green and interactive on hover).",@139561 What operating system and version of Spotify are you using? Can you remember what the ad was for? /DF,Ads/Promotions,Auto-handle,
@SpotifyCares It did work but it says I already had an offer like that even tho my account is brand new.,@141284 Hey there. That's not cool. Can you try using an incognito window or private browsing session to get the deal? Let us know how it goes /QI,Ads/Promotions,Escalate,Account-specific promotion eligibility issue
"@SpotifyCares The one thing I'd really, really, really like is the ability to drop a song from the mix. That way I can enjoy the rest on repeat shuffle. Would be a nice feature",@147607 We're sorry you feel this way. We’re always testing things in order to improve and your inputs helps us a lot. Check out Daily Mix and Release Radar in the meantime. Let us know if you need help with anything else 🙂 /BP,Feature Request,Auto-handle,
@SpotifyCares Yeah my comment pertains to the last bullet. There should be an option: “Check for updated playlists/songs only when I’m on WiFi” to prevent this issue from occurring,@152052 Hey Zachary! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /KA,Feature Request,Auto-handle,
"@SpotifyCares eh, just buy last.fm outright and implement all its features",@157531 Hey! We can see how that’d be useful. You can vote for the official idea here: https://t.co/llJeAWnvFA /MX,Feature Request,Auto-handle,
@SpotifyCares You actually are amazing 😘😘😘,"@116376 Hey Tom! Not to worry, we're more than happy to bring the party to your place. Would you mind sending this invite out to everyone you know? https://t.co/LwyCWf8WKC 🎉 /TB",Other/General,Auto-handle,
"@SpotifyCares Thanks for the link but it wasn’t helpful, every other streaming service has the song available. It’s only that track, the rest are there.","@129639 Hey Leo! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /SY",Content Availability,Auto-handle,
"@SpotifyCares The US,, I'm sure they aren't available, they're pretty rare, to even buy",@130007 Hey there! Could you let know what country your Spotify account is set to? We'll check it's availability /GU,Content Availability,Auto-handle,
"@SpotifyCares Sure! This is the song link, and I’m in the US. https://t.co/uGIDKCKlH1 Glad I could help","@130286 Hey! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. Also, what country is your account set to? We'll check it out /YM",Content Availability,Auto-handle,
"@SpotifyCares Well, thanks. Guess that's the best I can expect. Have a good day!","@131854 We hear you loud and clear! We can’t make any promises, but we’ll pass your feedback on to the right folks 🙂 /MA",Other/General,Auto-handle,
@SpotifyCares No errors - just changes tracks after about 20 seconds  - It mostly happens on ‘radio’ playlists but no way is that artist on there - restart didn’t work. Problem Went away for a week though and back today,@131856 We understand. Are you getting any error messages when it happens? Does logging out &gt; restarting the device &gt; logging back in help? /PL,Playback,Auto-handle,
"@SpotifyCares I just noticed this, you guys are funny. I love it! Haha.",@134390 You're welcome! Let us know if you need anything else. We're... https://t.co/zOXI69QSqg /DN,Other/General,Auto-handle,
"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.","@135367 Hi there. Just to clarify, do you need to restart the app to continue your music, or do you just resume the playback? /LM",Playback,Auto-handle,
"@SpotifyCares Tried it. Still happening. To recreate: play a track on Spotify app. While playing, open Twitter and start a video or GIF. Then go back to Spotify app and hit play. You'll see it ""playing"" but with no audio.",@135367 Gotcha. Can you try reinstalling the app using the steps here: https://t.co/PDA2aKzC6Q? Let us know how it plays out /LM,Playback,Auto-handle,
"@SpotifyCares I know it can be difficult to keep up with the many iterations of your beautiful service, thankful there are many ways to use it. Thanks for your consideration and time today!!! @SpotifyCares","@135374 We understand where you're coming from. Rest assured, your feedback is being heard while we work with Roku on the best path forwards /NG",Other/General,Auto-handle,
@SpotifyCares I need to step up my game to reply with Spotify music like you have! Way cool =) cheers!,"@135374 We appreciate you letting us know. If anything else comes up, just give us a shout. We're here for you... https://t.co/vqF9a1Oqfu 🙂 /NG",Other/General,Auto-handle,
@SpotifyCares For the browser: the only thing that's happening is I will click on the play button and nothing will play. And I'll try to pick different songs or playlists and it won't work. Sometimes if I refresh it will work again but often I just have to wait a while for it to work.,@139555 Thanks for letting us know. Are you getting any specific error messages while using the web player? A screenshot of what you're seeing would be helpful /CE,Playback,Auto-handle,
@SpotifyCares Did you remove the 1986 The Fly soundtrack? =(,Twice the room to talk about that new tune! Sharing on Twitter means you can link to tracks easier and type for longer without running out o https://t.co/h1eTeKT2mh,Content Availability,Auto-handle,
@SpotifyCares Nope. No crash. Just the same 3 ads on repeat.,"@143587 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RB",Ads/Promotions,Auto-handle,
@SpotifyCares Even you guys are better at responding to people than @ATVIAssist,"@143960 Hay Jaden! Can you let us know the device, operating system, and Spotify version you're using? A screenshot of what you're seeing would also come in handy /RH",Other/General,Auto-handle,
@SpotifyCares I've private messaged you because I've been charged twice ? Spotify I love you but you're killing me 🙄,"@148082 Hi Laura! Don't worry, we'll get to the bottom of this. Could you send us a DM with your account's email address? We'll take a look backstage /DR https://t.co/ldFdZRiNAt",Subscription/Payment,Escalate,Billing/charge issue requiring human review
@SpotifyCares I’m sorry but what do you guys mean??? I just posted the song I was listening to??,"@143213 Got it! We’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa. If you ever need anything else, just shout and we'll come running 🏃 /DI",Content Availability,Auto-handle,
