customer_text,spotify_reply
"@SpotifyCares I just noticed this, you guys are funny. I love it! Haha.",@134390 You're welcome! Let us know if you need anything else. We're... https://t.co/zOXI69QSqg /DN
@SpotifyCares iPhone 6s with the most current operating system and Spotify version with a premium family account,"@134860 Hey there, we'd love to help! Can you let us know your device, operating system, and the version of Spotify you're running? We'll see what we can suggest /AG"
@SpotifyCares 8.4.28.1104,"@134860 Thanks. Can you get back to us with the exact version of Spotify you're using? To get this info, just go to Your Music &gt; Settings &gt; About /AG"
@SpotifyCares some songs in the playlists become unsaved,"@134860 Got it. Just to check, does the issue only happen to your downloaded albums? If you have downloaded playlists, do they become unsynced too? /AG"
@SpotifyCares Fantastic response timeframe! Many suns ago I had a Spotify account. I got an apple device for work and am back to establish a Spotify monthly subscription and it’s difficult.,@134865 Hey there! We'd love to help. Can you let us know what's happening exactly? /RC
@SpotifyCares Can you please provide easy access asap? Delinking from substantial music with no foundation to bounce to will leave a scar on your reputation. Ain’t going to lie.,@134865 Hey there! We'd love to help. Can you let us know what's happening exactly? /RC
"@SpotifyCares That definitely worked it out, thank you!!",@135360 Got it. Can you check if logging out &gt; restarting your phone &gt; logging back in to your account makes a difference? /DV
@SpotifyCares I can't find that option. I've checked and my Sonos app is up to date. I've removed and then re authorised Spotify as a music service. All no joy.,"@135361 Thanks. Can you make sure you've enabled ""Control Sonos from Spotify"" in the Sonos app settings? There's more info here: https://t.co/Wgy3SqHCeq /NG"
"@SpotifyCares Just checked, worked straight away on my daughter's iPhone using linked family Spotify account.","@135361 Just to check, have you tried using a different device to control your Sonos speaker? Did the same issue happen? /NG"
@SpotifyCares Email is __email__,@135363 Thanks for the screenshot. Can you also send us the username/email of the other account you paid for? /JP
"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.","@135367 Hi there. Just to clarify, do you need to restart the app to continue your music, or do you just resume the playback? /LM"
"@SpotifyCares Tried it. Still happening. To recreate: play a track on Spotify app. While playing, open Twitter and start a video or GIF. Then go back to Spotify app and hit play. You'll see it ""playing"" but with no audio.",@135367 Gotcha. Can you try reinstalling the app using the steps here: https://t.co/PDA2aKzC6Q? Let us know how it plays out /LM
@SpotifyCares Both 😅,"@135367 Thanks for the info. Just to check, are you listening to songs downloaded for offline listening, or are you just streaming your tunes? /LM"
@SpotifyCares I first noticed it when I upgraded from my iPhone 7+ to the X. Is this a known issue?,"@135367 Alright. Did this issue start happening after a specific update? Also, does this happen on any other apps as well? /LM"
@SpotifyCares I got chat and got it taken care of easily. Thanks for the support.,@135369 Hey there! That doesn't sound good. Can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt
"@SpotifyCares Yes, completely removed and reinstalled both apps","@135361 Just to confirm, were you able to do a clean reinstall as suggested? /NG"
"@SpotifyCares Thanks for replying @SpotifyCares. That article basically says that you've made it worse. Without the functionality to see my saved artists/albums/playlists then this app is useless. In my opinion, It needs an overhaul and comparable functionality to every other form of your app.",@135374 Hey Steven! We have some info about the Spotify app on Roku here: https://t.co/1nqkZkn6JX. Give us a shout if there's anything else /NG
"@SpotifyCares I know it can be difficult to keep up with the many iterations of your beautiful service, thankful there are many ways to use it. Thanks for your consideration and time today!!! @SpotifyCares","@135374 We understand where you're coming from. Rest assured, your feedback is being heard while we work with Roku on the best path forwards /NG"
@SpotifyCares I need to step up my game to reply with Spotify music like you have! Way cool =) cheers!,"@135374 We appreciate you letting us know. If anything else comes up, just give us a shout. We're here for you... https://t.co/vqF9a1Oqfu 🙂 /NG"
"@SpotifyCares OK, I did all those steps, fingers crossed and Thanks!",@135881 Hi there! We’re sorry to hear that. We'd suggest checking out https://t.co/iVpg60w61i for what to do next. Let us know if we can help with anything else /GN
"@SpotifyCares Both songs and albums. The only downloaded material are the three Spotify playlists: New Music Friday, Discover Weekly, and Release Radar.","@136356 Thanks. Just to check, is this happening on all your downloaded songs or just your Albums? /XF"
@SpotifyCares I use Firefox Quantum on Mac OS Sierra version 10.12.6 on a late 2009 iMac desktop. Fairly often Spotify just won't let me play any music. I have to totally close Spotify and re-login for it to work again. Sometimes a browser reset is also necessary. Thanks for looking into this.,"@136357 Hey Kevin, we’re sorry to hear that! What’s happening exactly? Can you let us know the device/OS you’re using? We'll see what we can suggest /CO"
@SpotifyCares Dry by edit I meant move tracks around to any order through phone. Not just random. I want to rearrange playlists.,"@136362 Hey! You can edit your playlists using your Android phone too. For more info, click here: https://t.co/fsYUfD7IIb /AU"
@SpotifyCares Missing all together 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,"@136363 Hey there! That doesn't sound good. Just to check, are your songs removed from download or missing altogether? /PB"
@SpotifyCares hi! it’s set to the UK :),@136366 Hey there! Can you let us know which country your Spotify account is set to? We'll be right here waiting /LP
"@SpotifyCares Okay, thanks. Hopefully it won't happen again!","@136856 Hey Adrian, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /SY"
@SpotifyCares Aight guys appreciate it,"@136858 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/6Y2qyWFrKN"
@SpotifyCares Do you guys know when @21409 mixtape Benny On Steroids is gonna be up tho,@136858 You're welcome! Just let us know if we can help with anything else 🙂 /NH
@SpotifyCares Aight no doubt thanks,"@136858 We don't have any info on this right now, but we’ll have it available to you as soon as it’s available to us! /RB"
@SpotifyCares Is this for every song and artists or only the artists? I see only a karaoke song. I want the whole song it's a remember to are grandmother,"@136861 We understand your frustration. We’d love to have all of their stuff available! Hopefully we will in the future. In the meantime, we have some info about content here: https://t.co/1dgftcFtzc. If you ever need anything else, just shout and we'll come running 🏃 /LX"
@SpotifyCares DM sent,"@136862 Hey Chris, we'd love to help! Can you DM us your email address? We'll take a look backstage /JP https://t.co/ldFdZR1cbT"
@SpotifyCares Will do for sure,@136858 Anytime! Apologies for the late response. Feel free to send a tweet our way if you need help with anything else 🙂 /JI
@SpotifyCares Thanks,@136864 We've just sent a DM your way. Let's carry on chatting there /CG
"@SpotifyCares What I’m asking is, how can I find the other, older versions (e.g. if I didn’t already have them saved). istr there used to be an “x more release(s)” link at the bottom of the track listing page for an album, but in this case I can’t find it. 2/2",@136867 Hi Ben! Can you send over a screenshot of what you're seeing? We'll take a closer look /QI
"@SpotifyCares Ah OK, that explains why I can’t find it! :)","@136867 Thanks for clearing that up. The feature is currently unavailable, but we hear you 🎧 Rest assured, your feedback will be passed on to the right folks /QI"
"@SpotifyCares sorry, to clarify… there are multiple versions of the album “Mule Variations” by Tom Waits on Spotify (I have several different versions saved), but when searching or looking at the artist page, I can only see the most recently released version (a remaster). 1/2",@136867 Hi Ben! Can you send over a screenshot of what you're seeing? We'll take a closer look /QI
@SpotifyCares  https://t.co/UBpIwtQcjn,"@137379 Hey Dan, help's here! Can you DM us your account's email address, username, and a screenshot of the error message you're seeing? We'll take a look backstage /AL https://t.co/ldFdZRiNAt"
@SpotifyCares @137384 The algorithm isn’t the best but my shuffle won’t even work in the iPhone App right now.  When you hit shuffle you can see in the background it tries to shuffle but then just resets to the playlist order and when you skip to the next song shuffle turns off,@137384 Hi there! Sorry to hear you feel that way. We’ve made some changes to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/AdMgwOmTIH /XF
@SpotifyCares It's still saying you are experiencing problems unfortunately... :/,@137386 Sorry to hear you're still having troubles. Does restarting your device help at all? Keep us posted /VV https://t.co/ldFdZRiNAt
"@SpotifyCares My Spotify computer app has legit said ""offline"" for 4 months and every attempt that customer service has attempted has failed miserably.",@137938 Hey Daniel! Don't throw in the towel just yet. Can you give us more info on what's happening exactly? We'd love to help /NG
"@SpotifyCares I have a lot with the UX of the spotify app, but twitter has not enough space to document all flaws ... Your Content is great, the UX is atleast medium 😞","@137939 Hey Kay! We're working on this as we speak, but we don't have a release date yet. Watch this space! Give us a shout if you have any other questions, we'll get back to you in a beat 🙂 /TI"
@SpotifyCares Thank you! Just sent via your link.,"@137941 Hey Cory! This looks like something our Artist team can help with here: https://t.co/41wf7ozbVm. If you've already reached out, DM us your email address &amp; we'll chase it up /AV https://t.co/ldFdZRiNAt"
"@SpotifyCares Thanks guys, sorted","@137948 Hey Anthony, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us posted /JI"
@SpotifyCares I replied with further info regarding the multiple issues. Check DMS,@137959 Hi there! We've sent a reply to your DM. Let's carry on chatting there /LP
@SpotifyCares I’ll try it. Thanks!,@138411 Hey there! Could you try using an incognito window? Let us know how it goes /DF
@SpotifyCares I had no problems the rest of the day when listening in the incognito window.,@138411 Sounds good! Keep us in the loop /JK
"@SpotifyCares i wasn't using the app, i was using the web player. but i will try the app and see what's up there and see if it's still not working on there.",@138414 Hmm. That's odd. Could you try uninstalling and reinstalling the app? Let us know how it goes /DF
@SpotifyCares I already tried a different browser and now I just tried incognito. No difference. Still frozen.,@138416 Hey Joanna! That doesn't sound fun. Can you try using a different browser or an incognito window? Let us know if that makes any difference /AG
"@SpotifyCares A day later, computer turned off overnight, and it's still frozen on the same song. The player isn't responding to any clicks.",@138416 Got it. Can you try restarting your device and see if that helps at all? Keep us posted /AG
"@SpotifyCares Yeah, it kind of went away by itself. I got a bunch of TOO MANY REDIRECT errors when I was trying to log in, but it resolved itself after an hour or so. Maybe you had some temporary, localized server issues. Anyway, I'm happy again. 😊","@138424 Hey Tobias, we're here to help! Can you send us a screenshot of any error messages your getting? make sure to mask your email address, or any other private info, if it's seen in the screenshot /JP"
@SpotifyCares My $10,@138947 We've just sent a DM your way. Let's carry on chatting there /CG
@SpotifyCares nvm I figured the DM out,@138950 Hi there! Could you DM us your account's email address so we can check backstage? /FJ https://t.co/ldFdZRiNAt
@SpotifyCares im not able to DM you,@138950 Hi there! Could you DM us your account's email address so we can check backstage? /FJ https://t.co/ldFdZRiNAt
@SpotifyCares Version 8.4.29.289 on Android Oreo 8.0.0,"@138951 Hi Paul! Can you let us know what device, Android and Spotify versions you're using? We'll see what we can do /HR"
"@SpotifyCares Nope, no difference. Pixel XL 2","@138951 Got it. Can you try to log out of your account &gt; restart your device &gt; and log back in to see if it helps? If you can reply with the exact make and model of your device, that'd be great /HR"
@SpotifyCares Nope. Still the same,@138951 Thanks for the update. Can you try reinstalling the app? You can follow the steps here: https://t.co/URx6dw8By7. Let us know how it plays out /HR
@SpotifyCares Seems to be affected by my Bluetooth headphones. No issues if I play using my phone's speakers,@138951 That's odd. Can you let us know if this happens over WiFi and/or 4G? We'll be on the lookout for your reply /HR
@SpotifyCares It's definitely to do with your equaliser. Sound only dips when I use it. Music sounds flat without it though.,"@138951 Thanks for letting us know. Do you notice this issue happening with other apps? Also, does restarting your phone help at all? /JT"
@SpotifyCares Done,@138951 Hmm. Could you send DM us your account's email address or username? We'd like to take a look backstage /JT https://t.co/ldFdZRiNAt
"@SpotifyCares No, only happens in Spotify, YouTube etc is fine. A restart makes no difference.","@138951 Thanks for letting us know. Do you notice this issue happening with other apps? Also, does restarting your phone help at all? /JT"
@SpotifyCares I know. I've been a premium subscriber for so many years and have never gotten any deal. It's the way cookie crumbles but don't I just think it's wrong.,"@138957 Hey Nani! We're afraid that currently, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though /JE"
@SpotifyCares I'm sure I'm not the only one. ;),"@138957 Sorry to hear you feel that way. We don't have any specific info to share, but we'll be sure to let the right team know it's something you'd like to see. For anything else, we're just a tweet away /JE"
@SpotifyCares DMed. help me please 🙏🙏🙏🙏,@138959 Hi! Can you send us a DM with your family member's username or email address? We'll check things out /HR https://t.co/ldFdZRiNAt
@SpotifyCares It was an iPod gen4 but also tried my phone which is and iPhone 6 on the latest iOS and it was doing the same thing. Just played half a song then stopped,@139085 Hey there! Could you tell us the device/OS you're using? Keep us posted /DF
@SpotifyCares Will do. I’m off out though now so I’ll do it when I’m back and let you know,@139085 Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF
@SpotifyCares it's a UK account,@139550 Hi there! Could you let us know which country your Spotify account is set to? We'll be right here waiting /LP
"@SpotifyCares Windows 10, Google Chrome.","@139555 Hi Candace, help's here! Can you let us know your desktop's operating system version and the browser you're using? We'll see what we can suggest /DV"
@SpotifyCares Still does not help.,@139555 Thanks for the info. Can you try using an incognito/private window? Let us know if that helps /CE
"@SpotifyCares @139555 For me, as soon as I logged in it would log me out (in Chrome). I switched to Firefox and was able to log in. Makes me think something is cached weird.",@139555 Thanks for letting us know. Are you getting any specific error messages while using the web player? A screenshot of what you're seeing would be helpful /CE
"@SpotifyCares I'm not sure what happened, but shortly after I sent my last tweet, I tried logging in in Firefox and it worked. Then when I went back to Chrome it worked again there too, so it's all good now.",@139556 Hi Will! Can you trying clearing your Chrome browser's cache/cookies? Let us know if that makes a difference /RH
@SpotifyCares For the browser: the only thing that's happening is I will click on the play button and nothing will play. And I'll try to pick different songs or playlists and it won't work. Sometimes if I refresh it will work again but often I just have to wait a while for it to work.,@139555 Thanks for letting us know. Are you getting any specific error messages while using the web player? A screenshot of what you're seeing would be helpful /CE
"@SpotifyCares appropriate under the circumstances, e.g., by displaying a prominent notice within the Service or by sending you an email.","@139557 Hey Matthew! You can find more info on that here: https://t.co/crC4eQYWBB. We appreciate the feedback., and we'll make sure it gets passed on to the right team. If you ever need anything else, just shout and we'll come running 🏃 /AQ"
"@SpotifyCares When we make material changes to the Agreements, we’ll provide you with prominent notice as...","@139557 Hey Matthew! You can find more info on that here: https://t.co/crC4eQYWBB. We appreciate the feedback., and we'll make sure it gets passed on to the right team. If you ever need anything else, just shout and we'll come running 🏃 /AQ"
@SpotifyCares How exactly does it take a lot of manpower to run that feature? It would be interesting to see some numbers as that's a standard excuse imo,"@139557 Hey Matthew! You can find more info on that here: https://t.co/crC4eQYWBB. We appreciate the feedback., and we'll make sure it gets passed on to the right team. If you ever need anything else, just shout and we'll come running 🏃 /AQ"
@SpotifyCares Done! Thanks,"@139559 Hey Polly, help's here! Can you DM us your account's username and email address? We'll help out backstage /JX https://t.co/ldFdZRiNAt"
@SpotifyCares Not on my desktop right now. But it's Windows 10. And app tries to start and then shuts down after seconds.,"@139560 Hey, that's not cool!Can you let us know the device, operating system, and Spotify app version you’re using? We'll see what we can suggest /JY"
"@SpotifyCares Hey DF, Chrome V62 on a Mac. I didn't write down the ads, but three consecutive ads disabled the volume (stays grey on hover), and when music resumed playing the volume became active again (green and interactive on hover).",@139561 What operating system and version of Spotify are you using? Can you remember what the ad was for? /DF
@SpotifyCares Sent :),@139564 Hi there. Can you DM us your account's email address? We'll take a look backstage /LM https://t.co/ldFdZRiNAt
@SpotifyCares Open Spotify then toggle to another app (using the 3D panel switch button thing - don't know what it's called). Also happens during notifications,@139569 Hey Adam! Can you let us know exactly what's happening? We'll see what we can suggest /QI
"@SpotifyCares Chrome web player on Windows 10. Playlist loads but won’t play music (says it is), won’t let me change playlists, won’t let me select other songs. Basically unresponsive to everything.","@139572 Hey, that's not cool! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? Once you fire over that info, we'll see what we can suggest /DT"
@SpotifyCares Sweet! Thanks for the info!! :),"@139986 Hey there! All Other Sources includes streams from devices the listener connected to through Spotify Connect, and from non-app widgets such as the Spotify Play Button, which artists and fans can embed in their websites /P"
"@SpotifyCares I have no other internet connection accessible right now, and it worked just fine over the same connection last night. I also took a look at my firewall and I don't have anything there that would be blocking it.  :\","@139993 Hmm. Can you try using a different internet connection, and see if it makes a difference? /LM"
@SpotifyCares Issue persists on mobile… iPhone 7+ running iOS 11.1.2. https://t.co/Y60OdeFwXE,@139993 Gotcha. Can you try using a different device? Let us know if the issue persists /LM
@SpotifyCares Ok. I’ll give that a go.,"@140436 Got it. We'd just like to make sure we're covering all the bases, so bear with us. Could you log in to our test account to check if the same thing happens? Just enter ""cs_test_family_1"" as the username and ""123spotify"" as the password. Keep us posted /JE"
"@SpotifyCares Hey. Just managed to try this and it resulted in the same behaviour. 
Spotify audio muted. 
When gif stops, Spotify didn’t kick back in. 
Spotify shows as still playing, but no audio. 
Have to kill and restart Spotify.","@140436 Got it. We'd just like to make sure we're covering all the bases, so bear with us. Could you log in to our test account to check if the same thing happens? Just enter ""cs_test_family_1"" as the username and ""123spotify"" as the password. Keep us posted /JE"
@SpotifyCares No I'm not - will do. Thanks :),"@140446 Got it. App updates shouldn't cause any trouble for you. Just to check, are you currently using any cache-clearing apps on your device? Keep us posted /JI"
@SpotifyCares cheers! still loving everything else,"@140447 Hey there! We hear you loud and clear. Rest assured, your feedback will be passed on to the right folks /JI"
"@140448 Hmm, that's odd. Can you let us know the iOS and Spotify version you're using? Also, be sure to check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. We'll be waiting to hear back /TX","@140448 Hey Madeline, help's arrived! We've just sent you a bit more info over DM. We'll carry on helping out there /LS"
"@SpotifyCares Thank you, But I listened to every song of Taylor Swifts waiting for the album and now I know the lyrics to every song on every album. Anyway.....so basically I just have to keep checking the new releases every friday","@140870 Hey Alex! We hear you loud and clear. We’ll have it available to you as soon as it’s available to us. For now, check out the singles: https://t.co/3h0TnPWP0c 🙂 /JI"
@SpotifyCares Thank you for your time,"@140870 Great to hear. We don't have any further info on this right now, but we'll be sure to let the right team know it's something you're excited to see /JI"
"@SpotifyCares omg that was so terrible 
but gr8
i hate u 
but also love u
 i feel so https://t.co/DaY0pCo9St","@140873 Since you like puns, we decided to make... https://t.co/1HXnqpofwP 😉 /VK"
@SpotifyCares Done ✅ thank u 😁,"@140875 Hmm. Could you give it another shot by heading over at https://t.co/d4Pr8cFVVJ using an incognito window or a different browser? For your security, we recommend deleting your previous tweet as it contains private info. Let us know how it plays out /GU"
@SpotifyCares Thank u again 😍 https://t.co/5Nh0hXwjKz,"@140875 You're welcome! Just to check, is everything sorted now? Keep us in the loop /GU"
@141278 We understand. Rest assured we're constantly looking for ways to improve. We'll be sure to pass your feedback on to the right folks /TB,"@141278 Hey there, we hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 /TB"
"@SpotifyCares Thanks. Nothing against the support personnel. But the 10k limit is ridiculous, esp. given your competitions' far more generous limits, coupled with the (otherwise excellent) ""discovery"" aspect of Spotify.",@141278 We understand. Rest assured we're constantly looking for ways to improve. We'll be sure to pass your feedback on to the right folks /TB
"@SpotifyCares Yeah. I've already replied to that thread, months ago - and the thread was started in 2014. So it's nice that Spotify 'hears us', but… it doesn't feel like you're doing anything about it. Rather frustrating.","@141278 Hey there, we hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 /TB"
"@SpotifyCares I want A ""mix-button"" so the songs mix in your playlist. It's very tuff to change all the song by your shelf. It takes a long time.","@141280 Hey Vincent, help has arrived! Can you tell us exactly what you'd like to do? We'll see what we can suggest /RK"
@SpotifyCares I mean so places of the songs changes. Do you understand?,"@141280 Got it! If you're on Premium, you can play your awesome tunes randomly by turning on the shuffle button. Check out this link on how to find it, and more ways to play your awesome tunes: https://t.co/Um7DQ7RV6o. Hope this helps /LS"
"@SpotifyCares I mean that all the songs mixes when you press the ""mix-Burton"". It takes A long time to move them around by you Shelf.","@141280 Sorry for the confusion!  If you want to sort the songs in your playlist, you can find the steps here: https://t.co/5hjtm5AdqM. Is this what you were looking for? /LS"
@SpotifyCares I want A Button you press and then all the songs on your playlist change places randomly.,"@141280 Hmm. To make sure we're on the same page, do you want to sort your songs in a specific order? /LS"
@SpotifyCares It did work but it says I already had an offer like that even tho my account is brand new.,@141284 Hey there. That's not cool. Can you try using an incognito window or private browsing session to get the deal? Let us know how it goes /QI
"@SpotifyCares is there really no workaround for this? I wouldn't mind putting some time into making this work, but Spotify just has so little use for me if this can't be done...","@141285 Hey there! You can try following the steps at https://t.co/jnWe28bxRW. Let us know how it goes. On the other hand, we're afraid that local files will not appear under Your Library (Songs, Artists, Albums). We'll make sure to pass on your feedback though /JP"
@SpotifyCares I think Im missing the point. That article doesn’t say anything about iTunes or how to move songs added through iTunes to playlists :-(,"@141285 We're afraid this isn't possible, but we can see how that'd be handy. Your feedback has been noted. Don't worry, once you've imported your iTunes tracks, you can easily move them to playlists by following the steps at https://t.co/a38Mc2DlCx /WP"
@SpotifyCares yes I already did that before I asked my initial question (about importing smart playlists).,@141285 Sorry about the confusion. The steps you're looking for are on the first link we provided. Just head here: https://t.co/leBtTrQniD. Hope this helps /XF
"@SpotifyCares okay, thanks. How do I cancel my subscription? Is this possible each month, or is it per year?","@141285 We understand where you're coming from. Currently, it won't be possible to do this. Rest assured, we'll let our devs know this is something you'd like to see /DV"
"@SpotifyCares please do. I've worked the past 10 years on creating those playlists in iTunes, and the whole purpose of migrating to Spotify is that it's social. So now I don't have any benefits of being a Spotify subscriber...","@141285 Hey there! You can try following the steps at https://t.co/jnWe28bxRW. Let us know how it goes. On the other hand, we're afraid that local files will not appear under Your Library (Songs, Artists, Albums). We'll make sure to pass on your feedback though /JP"
@SpotifyCares Your advertisement says “get 3 months for 9kr” but why do I get the message that I’m not eligible for the offer - advertised with no conditions - for me it’s 99kr from first month.,"@141618 Hey there! Unfortunately, we don't offer support in Norwegian right now. We'd be happy to help in English here /JI"
@SpotifyCares Yes,"@141618 Got it. Just to confirm, are you attempting to redeem this promotion on an existing Spotify account? Keep us posted /JI"
@SpotifyCares Thanks JK. It's saying incorrect username and password. I've not changed my password at all though. I can only assume my account has been compromised in some way?,"@141620 Hey Lewis, that's not cool! We checked backstage and found a Premium account with the username ""lewishowe"". Can you try logging in with that username here: https://t.co/aDqXyWFb8P? You may want to try using an incognito window. Let us know how it goes /JK"
@SpotifyCares Unfortunately I'm pretty certain that I no longer have access to the email account joined to this account. What can you do to help? I can provide my mobile number and proof of SMS confirming payment? I can also confirm any personal info such as DOB etc if you store this?,"@141620 We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. If you need anything else, let us know /JK"
"@SpotifyCares my contract comes with two years free spotify subscription, every month £9.99 is added to my bill and i have to keep reapplying...","@141621 Hey there, that doesn't sound good! Could you let us know what's happening exactly? We'd love to help out /WP"
@SpotifyCares It's just not optimised for the aspect ratio of the phone,@141622 Hey there! Thanks for the feedback. We'll make sure to pass your suggestion about the gestures on to the right folks. Are you having issues using Spotify on your Galaxy Note 8? /PC
@SpotifyCares Android 7.1.1 Spotify 8.4.28.875,@141622 Hmm. Can you send us your Android and Spotify app versions? We'll see what we can suggest /PC
"@SpotifyCares All devices say I have a free access but I do have a premium account. By the way why am I charged 12,99 € and not 9,99 as advertised?",@141625 Hey! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest /MX
"@SpotifyCares but people have Netflix account without living at same address,didn't give me a real reason?",@141626 Hey there! All members of a Premium for Family plan must reside at the same physical address as mentioned in our T&amp;Cs: https://t.co/1XJ4A5XZ9O. Hope this clears things up /QI
@SpotifyCares Sure thing!,@___WRAY___ Anytime! Feel free to send a tweet our way if you need help with anything else 🙂 /JI
@SpotifyCares Yes. Sadly @115888 seems to value non-users higher than customers ☹️,"@141633 Thanks for clarifying. Currently, this offer is only for new users who never had Premium before. We hope this clears things up /JP"
@SpotifyCares This was the desktop app!,@141634 Hey there! Could you let us know what device/OS you're using? Keep us posted /DF
@SpotifyCares done! https://t.co/q7RWpok51q,@141634 Thanks! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link /DF
"@SpotifyCares Thanks a lot, I'll compile the form now c:","@141636 Hey! You can contact our Artist team here: https://t.co/p1wbtdELHu. If you've reached out, DM us your email address &amp; we'll chase it up /DF"
"@SpotifyCares Your plan is to DM with me to talk about fixing a defect that has affected every customer for seven or more years, and this is going to cause it to get fixed?","@140444 We'll do our best to get things sorted, don't worry. Could you DM us your account's username or email address? We'll continue helping out backstage /AG https://t.co/ldFdZRiNAt"
@SpotifyCares @140444 Bleep bloop,"@140444 Sorry to hear you feel that way, and we'll make sure to pass your feedback on to the right folks. If you need further help, feel free to drop us a DM. We'll be happy to lend a hand /MO https://t.co/ldFdZRiNAt"
@SpotifyCares @140444 This is some kind of parody account?,"@140444 Sorry to hear you feel that way, and we'll make sure to pass your feedback on to the right folks. If you need further help, feel free to drop us a DM. We'll be happy to lend a hand /MO https://t.co/ldFdZRiNAt"
"@SpotifyCares Great, thx for the help.","@141977 Hey David, we're sorry to see this. Check out https://t.co/QHn3ok8y2n for what to do next /TB"
"@SpotifyCares Inspector Clouseau, at your service! 💎","@141978 Got it, thanks for pointing that out for us! We'll let the right team know this something they should look into. Great detective work: https://t.co/FnFycxFkXV 🔍 /TB"
@SpotifyCares Question: what's the actual price of the chirstmas/black Friday deal? Is it £9.99 or £0.99? Just slightly confused haha x https://t.co/d33FDSKh5P,Twice the room to talk about that new tune! Sharing on Twitter means you can link to tracks easier and type for longer without running out o https://t.co/h1eTeKT2mh
@SpotifyCares Thank you for the useful information 👍😁,"@142346 Hi there! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP. If there's anything else, just give us a shout /PK"
@SpotifyCares Dm sent hun,@142349 Hey there! Can you DM us your account's email address or username? We'll see what we can suggest /RH https://t.co/ldFdZRiNAt
@SpotifyCares @142351 What about changing our usernames? Which team is working on that?,"@142351 Hi there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /AU"
@SpotifyCares You  don’t need a DM it’s a general question. When can we change our usernames?,"@142352 Hey Jay, help's here! Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt"
@SpotifyCares Randomly generated and assigned numbers is just ridiculous. I don’t even want to use Amazon Music but you’re giving me no choice.,"@142352 2: are randomly system-generated. Don't worry, you can still add a display name instead. Other Spotify users will see this name when they visit your profile. We hope this clears things up. Give us a shout if you have other questions /CH"
@SpotifyCares You’ve been passing the feedback on now for 4yrs but thanks anyway.,"@142352 We understand. Don't worry, we'll be sure to pass your feedback on to the right folks. In the meantime, if there's anything else that we can help you with, just send a tweet our way /CH"
@SpotifyCares How on earth do you think that that is a service in 2017? Absolutely bizarre. Can’t think of a single other company that does it.,"@142352 1: Right now, it's not possible to change usernames but if you like, we can free up your email address so you can use it to create a new one. We're afraid we can't guarantee that you'd be able to create or pick your own personalized username as the ones that may be assigned..."
@SpotifyCares Just dm'd you,"@142359 Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /JM https://t.co/ldFdZRiNAt"
"@SpotifyCares My account spotify is premium, why my account spotify have a advertaising? why? Please respon","@142361 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /AN"
@SpotifyCares Please cek DM thanks you 😊🙏,@142361 Got it. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt
@SpotifyCares Thanks you for you respon and replay my problem admin 😊,@142361 We've just sent you a DM 🙂 /AN
@SpotifyCares Did you remove the 1986 The Fly soundtrack? =(,Twice the room to talk about that new tune! Sharing on Twitter means you can link to tracks easier and type for longer without running out o https://t.co/h1eTeKT2mh
"@SpotifyCares I've submitted several support requests over the years, usually the only remedy is resyncing thousands of songs after you guys finally fix whatever bug is blocking me from using the features I pay for. This is a waste of my time (and your bandwidth).",@142363 Thanks for the info. Does logging out &gt; restarting your device &gt; logging back in help at all? We'll be on the lookout for your reply /MT
@SpotifyCares Could you try adding more an error message when a file wont play? Could you try building in a way to resymcing specific files?,@142363 Apologies for the inconvenience. Could you try reinstalling the app and re-syncing your local files? You can follow the steps here: https://t.co/EqisDMwZAT /MT
"@SpotifyCares I can't perform those steps, I am away from the machine I synced the indicated files from, because I assumed the in app indicator was accurate. I assumed to my own peril of course.","@142363 Thanks for the feedback. Not to worry, we'll make sure it's passed on to the right team. To make sure we're on the same page, did reinstalling the app help you in playing your local files on your iPhone X? /MT"
